iter	Passed	Remaining
548	9402	50540
549	9418	50518
550	9433	50490
551	9448	50462
552	9464	50438
553	9480	50413
554	9496	50392
555	9512	50367
556	9528	50345
557	9544	50322
558	9561	50302
559	9576	50275
560	9591	50246
561	9606	50218
562	9621	50193
563	9637	50167
564	9652	50142
565	9668	50116
566	9682	50088
567	9697	50060
568	9712	50030
569	9727	50002
570	9743	49981
571	9759	49955
572	9774	49930
573	9790	49907
574	9805	49882
575	9821	49856
576	9836	49829
577	9852	49806
578	9867	49780
579	9885	49768
580	9902	49750
581	9918	49729
582	9934	49706
583	9951	49689
584	9972	49690
585	9992	49687
586	10010	49679
587	10028	49665
588	10046	49653
589	10065	49646
590	10083	49632
591	10101	49618
592	10118	49601
593	10135	49587
594	10152	49567
595	10169	49550
596	10187	49539
597	10206	49530
598	10225	49521
599	10243	49510
600	10262	49501
601	10279	49483
602	10295	49460
603	10311	49440
604	10326	49414
605	10341	49386
606	10356	49357
607	10371	49332
608	10386	49305
609	10401	49279
610	10416	49254
611	10432	49230
612	10448	49210
613	10464	49187
614	10479	49161
615	10495	49137
616	10510	49109
617	10525	49085
618	10541	49060
619	10557	49043
620	10572	49016
621	10587	48989
622	10602	48964
623	10618	48938
624	10634	48917
625	10648	48890
626	10664	48866
627	10679	48839
628	10694	48815
629	10709	48787
630	10723	48757
631	10739	48733
632	10753	48705
633	10770	48688
634	10786	48667
635	10802	48645
636	10817	48621
637	10834	48601
638	10851	48584
639	10868	48567
640	10886	48557
641	10902	48534
642	10918	48515
643	10934	48492
644	10949	48467
645	10968	48458
646	10982	48427
647	10995	48395
648	11010	48366
649	11025	48341
650	11044	48334
651	11065	48335
652	11090	48351
653	11113	48361
654	11131	48348
655	11151	48345
656	11169	48334
657	11186	48316
658	11202	48293
659	11220	48283
660	11237	48265
661	11254	48249
662	11271	48231
663	11288	48213
664	11303	48188
665	11319	48166
666	11334	48139
667	11349	48117
668	11369	48113
669	11386	48093
670	11401	48068
671	11416	48043
672	11431	48018
673	11446	47994
674	11462	47970
675	11479	47955
676	11495	47935
677	11511	47913
678	11528	47896
679	11544	47874
680	11560	47854
681	11577	47837
682	11594	47818
683	11609	47793
684	11624	47771
685	11641	47754
686	11657	47731
687	11671	47704
688	11687	47683
689	11704	47665
690	11720	47647
691	11736	47624
692	11753	47608
693	11770	47591
694	11786	47571
695	11803	47552
696	11819	47533
697	11835	47510
698	11850	47487
699	11869	47478
700	11885	47458
701	11901	47436
702	11917	47417
703	11932	47392
704	11948	47369
705	11964	47348
706	11980	47327
707	11995	47303
708	12010	47278
709	12027	47261
710	12042	47237
711	12057	47215
712	12074	47197
713	12089	47173
714	12105	47151
715	12120	47127
716	12137	47111
717	12152	47086
718	12170	47075
719	12189	47066
720	12210	47063
721	12230	47059
722	12248	47044
723	12265	47027
724	12281	47007
725	12298	46989
726	12314	46969
727	12331	46952
728	12347	46934
729	12364	46916
730	12380	46896
731	12396	46876
732	12414	46862
733	12431	46846
734	12447	46827
735	12464	46810
736	12481	46793
737	12497	46773
738	12514	46757
739	12531	46738
740	12550	46729
741	12572	46731
742	12594	46733
743	12615	46733
744	12636	46728
745	12655	46720
746	12673	46705
747	12692	46696
748	12709	46681
749	12727	46667
750	12745	46652
751	12761	46634
752	12777	46615
753	12794	46595
754	12810	46576
755	12826	46554
756	12841	46532
757	12861	46526
758	12884	46529
759	12915	46564
760	12998	46784
761	13033	46832
762	13063	46861
763	13101	46920
764	13131	46948
765	13162	46978
766	13187	46989
767	13209	46991
768	13230	46987
769	13249	46976
770	13268	46963
771	13284	46941
772	13300	46921
773	13316	46901
774	13333	46880
775	13350	46864
776	13368	46849
777	13387	46839
778	13407	46831
779	13426	46819
780	13448	46819
781	13470	46819
782	13491	46815
783	13514	46816
784	13533	46808
785	13554	46803
786	13573	46793
787	13592	46778
788	13611	46769
789	13630	46758
790	13649	46747
791	13668	46734
792	13688	46725
793	13706	46713
794	13725	46702
795	13744	46689
796	13762	46676
797	13779	46658
798	13797	46640
799	13813	46621
800	13830	46602
801	13849	46590
802	13868	46577
803	13885	46561
804	13902	46543
805	13921	46531
806	13940	46520
807	13961	46515
808	13981	46507
809	14006	46513
810	14029	46516
811	14052	46517
812	14078	46530
813	14100	46529
814	14124	46531
815	14145	46526
816	14167	46525
817	14188	46520
818	14210	46516
819	14230	46507
820	14249	46498
821	14270	46493
822	14290	46483
823	14310	46473
824	14329	46461
825	14347	46447
826	14365	46431
827	14383	46417
828	14403	46408
829	14424	46403
830	14445	46395
831	14466	46388
832	14486	46379
833	14506	46372
834	14524	46357
835	14543	46343
836	14562	46331
837	14581	46319
838	14600	46306
839	14620	46297
840	14639	46285
841	14658	46275
842	14678	46264
843	14697	46252
844	14717	46243
845	14737	46233
846	14757	46224
847	14776	46212
848	14796	46203
849	14816	46191
850	14835	46181
851	14855	46171
852	14874	46156
853	14893	46144
854	14908	46118
855	14923	46094
856	14938	46071
857	14954	46049
858	14969	46022
859	14983	45996
860	14999	45974
861	15015	45953
862	15031	45930
863	15046	45907
864	15062	45885
865	15077	45859
866	15092	45834
867	15108	45813
868	15124	45791
869	15139	45767
870	15154	45742
871	15169	45718
872	15185	45694
873	15200	45669
874	15215	45646
875	15230	45623
876	15246	45599
877	15261	45576
878	15278	45556
879	15295	45538
880	15313	45523
881	15333	45512
882	15353	45505
883	15374	45497
884	15394	45489
885	15413	45475
886	15433	45465
887	15455	45460
888	15474	45449
889	15495	45443
890	15516	45436
891	15536	45426
892	15556	45415
893	15576	45404
894	15593	45386
895	15611	45371
896	15629	45354
897	15647	45337
898	15666	45326
899	15685	45313
900	15705	45303
901	15726	45295
902	15745	45283
903	15764	45269
904	15783	45257
905	15802	45245
906	15823	45238
907	15843	45227
908	15862	45213
909	15881	45201
910	15900	45187
911	15917	45170
912	15936	45155
913	15955	45141
914	15973	45127
915	15991	45112
916	16010	45099
917	16028	45081
918	16045	45063
919	16063	45047
920	16079	45027
921	16098	45012
922	16115	44993
923	16131	44972
924	16147	44951
925	16165	44933
926	16180	44910
927	16197	44891
928	16215	44874
929	16232	44856
930	16248	44836
931	16265	44818
932	16282	44798
933	16299	44781
934	16317	44762
935	16333	44742
936	16349	44722
937	16366	44703
938	16383	44685
939	16400	44666
940	16418	44650
941	16438	44639
942	16457	44624
943	16475	44610
944	16495	44599
945	16512	44581
946	16529	44561
947	16545	44541
948	16562	44521
949	16579	44503
950	16598	44490
951	16615	44470
952	16632	44451
953	16648	44429
954	16664	44409
955	16681	44390
956	16698	44372
957	16716	44355
958	16732	44334
959	16749	44317
960	16766	44298
961	16783	44280
962	16803	44267
963	16826	44265
964	16849	44262
965	16870	44254
966	16888	44237
967	16906	44223
968	16927	44213
969	16945	44197
